cond;age;gender;dotx;doty;fingerx;fingery;;distance;;;;;;;
mono;26;m;694;629;762;645;;69,85699679;;;;;;;
mono;26;m;687;627;760;644;;74,95331881;;;;;;;
mono;26;m;680;625;757;643;;79,07591289;;;;;;;
mono;26;m;673;622;755;642;;84,40379138;;;;;;;
mono;26;m;666;620;753;642;;89,73850901;;;;;;;
mono;26;m;659;617;750;642;;94,3716059;;;;;;;
mono;26;m;652;614;746;641;;97,80081799;;;;;;;
mono;26;m;645;611;741;641;;100,5783277;;;;;;;
mono;26;m;639;607;739;641;;105,6219674;;;;;;;
mono;26;m;632;604;734;640;;108,1665383;;;;;;;
mono;26;m;626;600;730;639;;111,0720487;;;;;;;
mono;26;m;619;597;725;638;;113,6529806;;;;;;;
mono;26;m;613;593;723;637;;118,4736258;;;;;;;
mono;26;m;607;589;718;636;;120,5404496;;;;;;;
mono;26;m;601;584;712;635;;122,1556384;;;;;;;
mono;26;m;595;580;706;634;;123,4382437;;;;;;;
mono;26;m;589;576;703;632;;127,0118105;;;;;;;
mono;26;m;583;571;697;630;;128,3627672;;;;;;;
mono;26;m;578;566;691;626;;127,9413928;;;;;;;
mono;26;m;573;561;684;623;;127,1416533;;;;;;;
mono;26;m;567;556;680;621;;130,3610371;;;;;;;
mono;26;m;562;551;673;618;;129,6533841;;;;;;;
mono;26;m;557;546;667;614;;129,3213053;;;;;;;
mono;26;m;553;541;661;611;;128,7012043;;;;;;;
mono;26;m;548;535;657;610;;132,3102415;;;;;;;
mono;26;m;544;530;651;606;;131,2440475;;;;;;;
mono;26;m;539;524;643;602;;130;;;;;;;
mono;26;m;535;518;637;598;;129,6302434;;;;;;;
mono;26;m;531;512;634;596;;132,9097438;;;;;;;
mono;26;m;528;506;627;592;;131,1373326;;;;;;;
mono;26;m;524;500;621;587;;130,2996546;;;;;;;
mono;26;m;521;494;615;582;;128,7633488;;;;;;;
mono;26;m;517;488;611;580;;131,5294644;;;;;;;
mono;26;m;514;482;605;575;;130,1153335;;;;;;;
mono;26;m;511;476;599;570;;128,7633488;;;;;;;
mono;26;m;509;469;596;568;;131,7952958;;;;;;;
mono;26;m;506;463;590;563;;130,5986217;;;;;;;
mono;26;m;504;456;583;558;;129,0155029;;;;;;;
mono;26;m;502;450;578;554;;128,8099375;;;;;;;
mono;26;m;500;443;575;551;;131,487642;;;;;;;
mono;26;m;498;436;570;546;;131,4686274;;;;;;;
mono;26;m;496;430;564;542;;131,0267148;;;;;;;
mono;26;m;495;423;558;536;;129,3754227;;;;;;;
mono;26;m;494;416;555;533;;131,946959;;;;;;;
mono;26;m;493;410;549;527;;129,7112177;;;;;;;
mono;26;m;492;403;544;521;;128,9496026;;;;;;;
mono;26;m;492;396;540;515;;128,3160161;;;;;;;
mono;26;m;491;389;538;512;;131,6738395;;;;;;;
mono;26;m;491;382;534;505;;130,2996546;;;;;;;
mono;26;m;491;375;531;498;;129,3406355;;;;;;;
mono;26;m;491;369;527;491;;127,2006289;;;;;;;
mono;26;m;491;361;526;488;;131,7345816;;;;;;;
mono;26;m;491;354;522;482;;131,7004176;;;;;;;
mono;26;m;491;346;517;475;;131,5940728;;;;;;;
mono;26;m;491;339;514;468;;131,0343466;;;;;;;
mono;26;m;492;331;512;464;;134,4953531;;;;;;;
mono;26;m;492;324;509;457;;134,0820644;;;;;;;
mono;26;m;493;316;506;450;;134,6291202;;;;;;;
mono;26;m;494;309;503;442;;133,3041635;;;;;;;
mono;26;m;496;302;501;439;;137,0912105;;;;;;;
mono;26;m;497;294;498;431;;137,0036496;;;;;;;
mono;26;m;499;287;496;423;;136,0330842;;;;;;;
mono;26;m;500;280;493;414;;134,1827113;;;;;;;
mono;26;m;502;273;492;409;;136,3671515;;;;;;;
mono;26;m;505;266;489;402;;136,9379421;;;;;;;
mono;26;m;507;259;488;392;;134,3502884;;;;;;;
mono;26;m;510;252;487;380;;130,0499904;;;;;;;
mono;26;m;512;245;487;374;;131,4001522;;;;;;;
mono;26;m;515;239;487;362;;126,1467399;;;;;;;
mono;26;m;518;232;488;349;;120,7849328;;;;;;;
mono;26;m;522;226;490;337;;115,5205609;;;;;;;
mono;26;m;525;219;491;331;;117,0469991;;;;;;;
mono;26;m;529;213;494;318;;110,6797181;;;;;;;
mono;26;m;533;207;496;305;;104,7520883;;;;;;;
mono;26;m;537;201;498;300;;106,4048871;;;;;;;
mono;26;m;541;195;501;288;;101,2373449;;;;;;;
mono;26;m;545;189;505;278;;97,57561171;;;;;;;
mono;26;m;550;184;509;267;;92,57429449;;;;;;;
mono;26;m;554;178;511;261;;93,47726996;;;;;;;
mono;26;m;559;173;516;250;;88,19297024;;;;;;;
mono;26;m;564;167;521;242;;86,45229899;;;;;;;
mono;26;m;569;162;525;233;;83,52843827;;;;;;;
mono;26;m;575;158;527;230;;86,53323061;;;;;;;
mono;26;m;580;153;532;222;;84,05355436;;;;;;;
mono;26;m;586;148;535;216;;85;;;;;;;
mono;26;m;591;144;539;210;;84,02380615;;;;;;;
mono;26;m;597;139;542;207;;87,45856162;;;;;;;
mono;26;m;603;135;548;200;;85,14693183;;;;;;;
mono;26;m;609;131;552;194;;84,95881355;;;;;;;
mono;26;m;615;128;558;187;;82,03657721;;;;;;;
