cond;age;gender;dotx;doty;fingerx;fingery;;distance;;;;;;;;
3d;23;m;1037;404;1032;243;;161,077621;;;;;;;;
3d;23;m;1035;411;1033;249;;162,0123452;;;;;;;;
3d;23;m;1033;418;1034;258;;160,003125;;;;;;;;
3d;23;m;1032;425;1035;265;;160,0281225;;;;;;;;
3d;23;m;1030;431;1037;275;;156,1569723;;;;;;;;
3d;23;m;1028;438;1039;280;;158,3824485;;;;;;;;
3d;23;m;1025;445;1039;288;;157,6229679;;;;;;;;
3d;23;m;1023;451;1039;294;;157,8131807;;;;;;;;
3d;23;m;1020;458;1040;299;;160,2529251;;;;;;;;
3d;23;m;1017;464;1041;306;;159,81239;;;;;;;;
3d;23;m;1014;471;1041;313;;160,2903615;;;;;;;;
3d;23;m;1011;477;1041;318;;161,8054387;;;;;;;;
3d;23;m;1008;483;1041;322;;164,3471935;;;;;;;;
3d;23;m;1004;490;1041;324;;170,0735135;;;;;;;;
3d;23;m;1001;496;1042;329;;171,9592975;;;;;;;;
3d;23;m;997;502;1043;334;;174,183811;;;;;;;;
3d;23;m;993;508;1043;337;;178,1600404;;;;;;;;
3d;23;m;989;514;1045;343;;179,9360998;;;;;;;;
3d;23;m;985;520;1045;348;;182,1647606;;;;;;;;
3d;23;m;981;525;1045;353;;183,521116;;;;;;;;
3d;23;m;976;531;1045;356;;188,111669;;;;;;;;
3d;23;m;972;536;1045;362;;188,6928721;;;;;;;;
3d;23;m;967;542;1045;368;;190,682983;;;;;;;;
3d;23;m;962;547;1045;376;;190,078931;;;;;;;;
3d;23;m;957;552;1044;378;;194,537914;;;;;;;;
3d;23;m;952;557;1043;384;;195,4737834;;;;;;;;
3d;23;m;947;562;1042;391;;195,6169727;;;;;;;;
3d;23;m;941;567;1041;399;;195,5095906;;;;;;;;
3d;23;m;936;572;1040;403;;198,4363878;;;;;;;;
3d;23;m;930;577;1038;410;;198,8793604;;;;;;;;
3d;23;m;925;581;1036;416;;198,861761;;;;;;;;
3d;23;m;919;585;1032;426;;195,064092;;;;;;;;
3d;23;m;913;590;1031;431;;198,0025252;;;;;;;;
3d;23;m;907;594;1029;438;;198,0403999;;;;;;;;
3d;23;m;901;597;1026;447;;195,2562419;;;;;;;;
3d;23;m;895;601;1024;451;;197,8408451;;;;;;;;
3d;23;m;889;605;1021;462;;194,6098661;;;;;;;;
3d;23;m;883;608;1018;470;;193,0518065;;;;;;;;
3d;23;m;876;611;1014;479;;190,9659656;;;;;;;;
3d;23;m;870;615;1012;489;;189,8420396;;;;;;;;
3d;23;m;864;618;1009;495;;190,1420522;;;;;;;;
3d;23;m;857;620;1006;501;;190,6882272;;;;;;;;
3d;23;m;851;623;1003;507;;191,2066944;;;;;;;;
3d;23;m;844;625;1001;509;;195,2050204;;;;;;;;
3d;23;m;837;628;997;517;;194,7331507;;;;;;;;
3d;23;m;831;630;993;524;;193,5975206;;;;;;;;
3d;23;m;824;632;990;529;;195,3586445;;;;;;;;
3d;23;m;817;634;988;531;;199,6246478;;;;;;;;
3d;23;m;810;635;985;536;;201,0621794;;;;;;;;
3d;23;m;804;637;982;539;;203,1944881;;;;;;;;
3d;23;m;797;638;979;542;;205,7668584;;;;;;;;
3d;23;m;790;639;977;545;;209,2964405;;;;;;;;
3d;23;m;783;640;974;550;;211,1421322;;;;;;;;
3d;23;m;776;641;970;555;;212,2074457;;;;;;;;
3d;23;m;770;641;967;559;;213,3846292;;;;;;;;
3d;23;m;762;641;965;561;;218,194867;;;;;;;;
3d;23;m;755;641;962;564;;220,8574201;;;;;;;;
3d;23;m;747;640;959;567;;224,2164133;;;;;;;;
3d;23;m;740;639;955;570;;225,8007972;;;;;;;;
3d;23;m;732;638;953;571;;230,9328907;;;;;;;;
3d;23;m;725;637;948;575;;231,4584196;;;;;;;;
3d;23;m;717;635;944;580;;233,5679773;;;;;;;;
3d;23;m;710;634;938;584;;233,4180798;;;;;;;;
3d;23;m;703;632;935;587;;236,3239302;;;;;;;;
3d;23;m;695;630;930;591;;238,2141893;;;;;;;;
3d;23;m;688;628;923;595;;237,30571;;;;;;;;
3d;23;m;681;625;916;599;;236,4339231;;;;;;;;
3d;23;m;674;623;912;600;;239,1087619;;;;;;;;
3d;23;m;667;620;901;604;;234,5463707;;;;;;;;
3d;23;m;660;617;894;606;;234,2584043;;;;;;;;
3d;23;m;653;614;889;607;;236,1037907;;;;;;;;
3d;23;m;646;611;879;612;;233,0021459;;;;;;;;
3d;23;m;640;608;871;615;;231,1060363;;;;;;;;
3d;23;m;633;604;861;619;;228,4928883;;;;;;;;
3d;23;m;626;601;856;620;;230,7834483;;;;;;;;
3d;23;m;620;597;846;623;;227,4906591;;;;;;;;
3d;23;m;614;593;836;625;;224,2944493;;;;;;;;
3d;23;m;608;589;826;626;;221,1176158;;;;;;;;
3d;23;m;602;585;821;627;;222,9910312;;;;;;;;
3d;23;m;596;581;811;628;;220,0772592;;;;;;;;
3d;23;m;590;576;802;630;;218,7692849;;;;;;;;
3d;23;m;584;572;793;630;;216,8985938;;;;;;;;
3d;23;m;579;567;788;630;;218,2887995;;;;;;;;
3d;23;m;573;562;778;631;;216,3007166;;;;;;;;
3d;23;m;568;557;770;631;;215,127869;;;;;;;;
3d;23;m;563;552;761;630;;212,8097742;;;;;;;;
3d;23;m;558;547;756;630;;214,6928038;;;;;;;;
3d;23;m;553;541;747;629;;213,02582;;;;;;;;
3d;23;m;549;536;738;628;;210,2022835;;;;;;;;
3d;23;m;544;530;729;628;;209,3537676;;;;;;;;
3d;23;m;540;525;724;627;;210,3806075;;;;;;;;
3d;23;m;536;519;716;625;;208,8923168;;;;;;;;
3d;23;m;532;513;706;623;;205,8543174;;;;;;;;
3d;23;m;528;507;696;622;;203,5902748;;;;;;;;
3d;23;m;524;501;692;620;;205,8761764;;;;;;;;
3d;23;m;521;495;684;618;;204,2008815;;;;;;;;
3d;23;m;518;489;674;616;;201,159141;;;;;;;;
3d;23;m;515;483;671;615;;204,3526364;;;;;;;;
3d;23;m;512;477;661;612;;201,0621794;;;;;;;;
3d;23;m;509;470;653;609;;200,1424493;;;;;;;;
3d;23;m;506;464;646;606;;199,4091272;;;;;;;;
3d;23;m;504;457;642;603;;200,8979841;;;;;;;;
3d;23;m;502;451;633;598;;196,9009903;;;;;;;;
3d;23;m;500;444;626;592;;194,3707797;;;;;;;;
3d;23;m;498;437;618;584;;189,7603752;;;;;;;;
3d;23;m;497;431;615;581;;190,850727;;;;;;;;
3d;23;m;495;424;606;574;;186,6038585;;;;;;;;
3d;23;m;494;417;599;568;;183,9184602;;;;;;;;
3d;23;m;493;411;591;559;;177,5049295;;;;;;;;
3d;23;m;492;404;588;555;;178,9329483;;;;;;;;
3d;23;m;492;397;581;549;;176,1391495;;;;;;;;
3d;23;m;491;390;573;541;;171,8284028;;;;;;;;
3d;23;m;491;383;566;531;;165,9186548;;;;;;;;
3d;23;m;491;376;560;522;;161,4837453;;;;;;;;
3d;23;m;491;370;556;519;;162,5607579;;;;;;;;
3d;23;m;491;362;549;508;;157,0986951;;;;;;;;
3d;23;m;491;355;543;497;;151,2216916;;;;;;;;
3d;23;m;491;347;540;491;;152,1085139;;;;;;;;
3d;23;m;491;340;535;481;;147,7057886;;;;;;;;
3d;23;m;492;332;531;468;;141,4814475;;;;;;;;
3d;23;m;492;325;527;456;;135,5949852;;;;;;;;
3d;23;m;493;317;526;449;;136,0624856;;;;;;;;
3d;23;m;494;310;522;435;;128,097619;;;;;;;;
3d;23;m;495;303;520;424;;123,5556555;;;;;;;;
3d;23;m;497;295;517;411;;117,7115118;;;;;;;;
3d;23;m;498;288;516;404;;117,3882447;;;;;;;;
3d;23;m;500;281;515;393;;113;;;;;;;;
3d;23;m;502;274;513;381;;107,5639345;;;;;;;;
3d;23;m;504;267;513;370;;103,3924562;;;;;;;;
3d;23;m;507;260;512;364;;104,1201229;;;;;;;;
3d;23;m;509;253;511;351;;98,02040604;;;;;;;;
3d;23;m;512;246;511;339;;93,00537619;;;;;;;;
3d;23;m;515;240;511;334;;94,08506789;;;;;;;;
3d;23;m;518;233;511;322;;89,27485648;;;;;;;;
3d;23;m;521;227;510;310;;83,72574276;;;;;;;;
3d;23;m;525;220;510;300;;81,39410298;;;;;;;;
3d;23;m;528;214;510;295;;82,97590012;;;;;;;;
3d;23;m;532;208;511;285;;79,81227976;;;;;;;;
3d;23;m;536;202;512;276;;77,79460136;;;;;;;;
3d;23;m;540;196;513;269;;77,83315489;;;;;;;;
3d;23;m;545;190;514;264;;80,23091673;;;;;;;;
3d;23;m;549;184;515;254;;77,82030583;;;;;;;;
3d;23;m;554;179;517;246;;76,53757247;;;;;;;;
3d;23;m;558;173;520;239;;76,15773106;;;;;;;;
3d;23;m;563;168;521;236;;79,92496481;;;;;;;;
3d;23;m;569;163;524;227;;78,23681998;;;;;;;;
3d;23;m;574;158;526;220;;78,40918314;;;;;;;;
3d;23;m;579;153;529;212;;77,3369252;;;;;;;;
3d;23;m;585;149;531;209;;80,72174428;;;;;;;;
3d;23;m;590;144;534;202;;80,62257748;;;;;;;;
3d;23;m;596;140;538;195;;79,93122043;;;;;;;;
3d;23;m;602;136;543;188;;78,64477096;;;;;;;;
3d;23;m;608;132;545;185;;82,32860985;;;;;;;;
3d;23;m;614;128;550;180;;82,46211251;;;;;;;;
3d;23;m;620;125;556;174;;80,60397013;;;;;;;;
3d;23;m;627;121;562;168;;80,21221852;;;;;;;;
3d;23;m;633;118;565;165;;82,66196223;;;;;;;;
3d;23;m;640;115;574;158;;78,77182237;;;;;;;;
3d;23;m;647;112;580;153;;78,54934755;;;;;;;;
3d;23;m;653;109;588;149;;76,32168761;;;;;;;;
3d;23;m;660;107;592;147;;78,89233169;;;;;;;;
3d;23;m;667;104;600;144;;78,0320447;;;;;;;;
3d;23;m;674;102;610;139;;73,92563831;;;;;;;;
3d;23;m;681;100;615;137;;75,66372975;;;;;;;;
3d;23;m;689;98;623;132;;74,24284477;;;;;;;;
3d;23;m;696;97;635;127;;67,9779376;;;;;;;;
3d;23;m;703;95;644;124;;65,74191966;;;;;;;;
3d;23;m;710;94;650;122;;66,21178143;;;;;;;;
3d;23;m;718;93;661;119;;62,64982043;;;;;;;;
3d;23;m;725;92;671;116;;59,09314681;;;;;;;;
3d;23;m;733;92;681;114;;56,46237685;;;;;;;;
3d;23;m;740;91;687;112;;57,00877125;;;;;;;;
3d;23;m;748;91;699;109;;52,20153254;;;;;;;;
3d;23;m;755;91;708;107;;49,64876635;;;;;;;;
3d;23;m;763;91;718;104;;46,84015371;;;;;;;;
3d;23;m;770;91;725;102;;46,32493929;;;;;;;;
3d;23;m;777;91;734;100;;43,93176527;;;;;;;;
3d;23;m;784;91;743;98;;41,59326869;;;;;;;;
3d;23;m;790;91;752;96;;38,32753579;;;;;;;;
3d;23;m;797;92;757;96;;40,19950248;;;;;;;;
3d;23;m;804;92;765;95;;39,11521443;;;;;;;;
3d;23;m;811;93;773;94;;38,01315562;;;;;;;;
3d;23;m;818;94;782;94;;36;;;;;;;;
3d;23;m;824;95;787;93;;37,05401463;;;;;;;;
3d;23;m;831;97;796;93;;35,22782991;;;;;;;;
3d;23;m;838;98;805;94;;33,24154028;;;;;;;;
3d;23;m;844;100;816;95;;28,44292531;;;;;;;;
3d;23;m;851;102;822;96;;29,61418579;;;;;;;;
3d;23;m;858;104;831;97;;27,89265136;;;;;;;;
3d;23;m;864;107;840;98;;25,63201124;;;;;;;;
3d;23;m;870;109;852;99;;20,59126028;;;;;;;;
3d;23;m;877;112;856;100;;24,18677324;;;;;;;;
3d;23;m;883;115;864;102;;23,02172887;;;;;;;;
3d;23;m;889;118;873;105;;20,61552813;;;;;;;;
3d;23;m;896;121;878;107;;22,8035085;;;;;;;;
3d;23;m;902;125;886;110;;21,9317122;;;;;;;;
3d;23;m;908;128;895;114;;19,10497317;;;;;;;;
3d;23;m;914;132;903;117;;18,60107524;;;;;;;;
3d;23;m;919;136;908;120;;19,41648784;;;;;;;;
3d;23;m;925;140;915;124;;18,86796226;;;;;;;;
3d;23;m;931;145;922;128;;19,23538406;;;;;;;;
3d;23;m;936;149;928;133;;17,88854382;;;;;;;;
3d;23;m;942;154;932;135;;21,47091055;;;;;;;;
3d;23;m;947;158;939;139;;20,61552813;;;;;;;;
3d;23;m;952;163;944;142;;22,47220505;;;;;;;;
3d;23;m;957;168;948;145;;24,69817807;;;;;;;;
3d;23;m;962;174;951;147;;29,15475947;;;;;;;;
3d;23;m;967;179;956;150;;31,01612484;;;;;;;;
3d;23;m;972;185;960;153;;34,17601498;;;;;;;;
3d;23;m;976;190;965;158;;33,83784863;;;;;;;;
3d;23;m;981;196;968;160;;38,27531842;;;;;;;;
3d;23;m;985;202;974;163;;40,52159918;;;;;;;;
3d;23;m;989;208;978;166;;43,41658669;;;;;;;;
3d;23;m;993;214;982;169;;46,32493929;;;;;;;;
3d;23;m;997;220;984;170;;51,66236541;;;;;;;;
3d;23;m;1001;227;989;173;;55,31726674;;;;;;;;
3d;23;m;1005;233;992;175;;59,43904441;;;;;;;;
3d;23;m;1008;240;996;178;;63,15061362;;;;;;;;
3d;23;m;1011;247;998;180;;68,24954212;;;;;;;;
3d;23;m;1014;253;1002;184;;70,03570518;;;;;;;;
3d;23;m;1017;260;1006;190;;70,85901495;;;;;;;;
3d;23;m;1020;267;1008;193;;74,96665926;;;;;;;;
3d;23;m;1023;274;1011;199;;75,95393341;;;;;;;;
3d;23;m;1025;281;1013;206;;75,95393341;;;;;;;;
3d;23;m;1028;288;1017;212;;76,79192666;;;;;;;;
3d;23;m;1030;296;1018;215;;81,88406438;;;;;;;;
3d;23;m;1032;303;1021;221;;82,73451517;;;;;;;;
3d;23;m;1034;310;1025;226;;84,48076704;;;;;;;;
3d;23;m;1035;318;1028;230;;88,27797007;;;;;;;;
3d;23;m;1037;325;1030;232;;93,26306879;;;;;;;;
3d;23;m;1038;333;1033;235;;98,12746812;;;;;;;;
3d;23;m;1039;340;1036;239;;101,0445446;;;;;;;;
3d;23;m;1040;348;1040;245;;103;;;;;;;;
3d;23;m;1041;355;1041;249;;106;;;;;;;;
3d;23;m;1041;363;1042;254;;109,0045871;;;;;;;;
3d;23;m;1041;370;1044;260;;110,0409015;;;;;;;;
3d;23;m;1041;377;1046;266;;111,1125555;;;;;;;;
3d;23;m;1040;384;1047;269;;115,2128465;;;;;;;;
3d;23;m;1039;390;1049;278;;112,4455424;;;;;;;;
3d;23;m;1038;397;1051;285;;112,7519401;;;;;;;;
3d;23;m;1037;404;1053;291;;114,1271221;;;;;;;;
3d;23;m;1035;411;1054;294;;118,5326959;;;;;;;;
3d;23;m;1034;418;1055;302;;117,8855377;;;;;;;;
3d;23;m;1032;424;1057;313;;113,7804904;;;;;;;;
3d;23;m;1030;431;1058;321;;113,507709;;;;;;;;
3d;23;m;1028;438;1058;325;;116,9144987;;;;;;;;
3d;23;m;1025;444;1058;338;;111,0180166;;;;;;;;
3d;23;m;1023;451;1058;349;;107,8378412;;;;;;;;
3d;23;m;1020;457;1058;353;;110,7248843;;;;;;;;
3d;23;m;1017;464;1056;366;;105,4751155;;;;;;;;
3d;23;m;1014;470;1055;377;;101,6366076;;;;;;;;
3d;23;m;1011;477;1053;388;;98,41239759;;;;;;;;
3d;23;m;1008;483;1052;393;;100,1798383;;;;;;;;
3d;23;m;1005;489;1050;404;;96,17692031;;;;;;;;
3d;23;m;1001;495;1048;413;;94,51454914;;;;;;;;
3d;23;m;997;502;1047;422;;94,33981132;;;;;;;;
3d;23;m;993;508;1046;426;;97,63708312;;;;;;;;
3d;23;m;989;514;1045;434;;97,65244493;;;;;;;;
3d;23;m;985;519;1042;441;;96,60745313;;;;;;;;
3d;23;m;981;525;1041;446;;99,2018145;;;;;;;;
3d;23;m;976;531;1040;448;;104,8093507;;;;;;;;
3d;23;m;972;536;1039;454;;105,8914539;;;;;;;;
3d;23;m;967;542;1036;461;;106,4048871;;;;;;;;
3d;23;m;962;547;1034;468;;106,8877916;;;;;;;;
3d;23;m;957;552;1032;470;;111,1260546;;;;;;;;
3d;23;m;952;557;1030;475;;113,1724348;;;;;;;;
3d;23;m;947;562;1027;479;;115,277925;;;;;;;;
3d;23;m;942;567;1025;482;;118,8023569;;;;;;;;
3d;23;m;936;572;1020;489;;118,0889495;;;;;;;;
3d;23;m;931;576;1015;497;;115,3126186;;;;;;;;
3d;23;m;925;581;1010;504;;114,6908889;;;;;;;;
3d;23;m;919;585;1007;507;;117,5925168;;;;;;;;
3d;23;m;913;589;1000;517;;112,9291813;;;;;;;;
3d;23;m;908;593;992;527;;106,8269629;;;;;;;;
3d;23;m;902;597;985;534;;104,2017274;;;;;;;;
3d;23;m;895;601;983;537;;108,8117641;;;;;;;;
3d;23;m;889;605;975;545;;104,8618138;;;;;;;;
3d;23;m;883;608;968;552;;101,7889974;;;;;;;;
3d;23;m;877;611;962;558;;100,1698557;;;;;;;;
3d;23;m;870;614;959;560;;104,1009126;;;;;;;;
3d;23;m;864;617;953;565;;103,0776406;;;;;;;;
3d;23;m;857;620;947;568;;103,9422917;;;;;;;;
3d;23;m;851;623;941;571;;103,9422917;;;;;;;;
3d;23;m;844;625;938;574;;106,9439105;;;;;;;;
3d;23;m;838;628;933;578;;107,3545528;;;;;;;;
3d;23;m;831;630;928;582;;108,2266141;;;;;;;;
3d;23;m;824;632;922;587;;107,8378412;;;;;;;;
3d;23;m;818;634;919;589;;110,571244;;;;;;;;
3d;23;m;811;635;913;593;;110,3086579;;;;;;;;
3d;23;m;804;637;908;596;;111,7899817;;;;;;;;
3d;23;m;797;638;902;599;;112,0089282;;;;;;;;
3d;23;m;790;639;899;600;;115,7670074;;;;;;;;
3d;23;m;784;640;893;602;;115,4339638;;;;;;;;
3d;23;m;777;641;887;605;;115,7410904;;;;;;;;
3d;23;m;770;641;879;608;;113,8859078;;;;;;;;
3d;23;m;763;641;874;610;;115,2475596;;;;;;;;
3d;23;m;755;641;866;613;;114,4770719;;;;;;;;
3d;23;m;748;640;855;618;;109,2382717;;;;;;;;
3d;23;m;740;639;850;620;;111,6288493;;;;;;;;
3d;23;m;733;638;838;625;;105,8017013;;;;;;;;
3d;23;m;725;637;827;629;;102,3132445;;;;;;;;
3d;23;m;718;635;814;631;;96,0832972;;;;;;;;
3d;23;m;710;634;808;633;;98,00510191;;;;;;;;
3d;23;m;703;632;796;635;;93,04837452;;;;;;;;
3d;23;m;696;630;783;637;;87,2811549;;;;;;;;
3d;23;m;688;628;771;637;;83,48652586;;;;;;;;
3d;23;m;681;625;763;637;;82,87339742;;;;;;;;
3d;23;m;674;623;748;637;;75,31268154;;;;;;;;
3d;23;m;667;620;735;636;;69,85699679;;;;;;;;
3d;23;m;660;617;719;634;;61,40032573;;;;;;;;
3d;23;m;653;614;713;633;;62,93647591;;;;;;;;
3d;23;m;647;611;699;630;;55,36244214;;;;;;;;
3d;23;m;640;608;687;627;;50,69516742;;;;;;;;
3d;23;m;633;605;672;622;;42,54409477;;;;;;;;
3d;23;m;627;601;665;619;;42,04759208;;;;;;;;
3d;23;m;620;597;651;612;;34,43835072;;;;;;;;
3d;23;m;614;593;638;606;;27,29468813;;;;;;;;
3d;23;m;608;589;626;601;;21,63330765;;;;;;;;
3d;23;m;602;585;619;598;;21,40093456;;;;;;;;
3d;23;m;596;581;606;590;;13,45362405;;;;;;;;
3d;23;m;590;576;594;582;;7,211102551;;;;;;;;
3d;23;m;585;572;583;574;;2,828427125;;;;;;;;
3d;23;m;579;567;577;569;;2,828427125;;;;;;;;
3d;23;m;574;562;566;558;;8,94427191;;;;;;;;
3d;23;m;568;557;556;547;;15,62049935;;;;;;;;
3d;23;m;563;552;551;539;;17,69180601;;;;;;;;
3d;23;m;558;547;540;523;;30;;;;;;;;
3d;23;m;554;542;532;507;;41,34005322;;;;;;;;
3d;23;m;549;536;524;489;;53,23532662;;;;;;;;
3d;23;m;545;531;520;479;;57,69748695;;;;;;;;
3d;23;m;540;525;514;460;;70,00714249;;;;;;;;
3d;23;m;536;519;507;444;;80,41144197;;;;;;;;
3d;23;m;532;514;503;427;;91,70605214;;;;;;;;
3d;23;m;528;508;501;418;;93,96275858;;;;;;;;
3d;23;m;525;502;498;402;;103,5808863;;;;;;;;
3d;23;m;521;496;496;385;;113,7804904;;;;;;;;
3d;23;m;518;489;494;371;;120,4159458;;;;;;;;
3d;23;m;515;483;493;365;;120,0333287;;;;;;;;
3d;23;m;512;477;493;352;;126,4357544;;;;;;;;
3d;23;m;509;470;492;341;;130,1153335;;;;;;;;
3d;23;m;507;464;492;332;;132,849539;;;;;;;;
3d;23;m;504;457;492;328;;129,5569373;;;;;;;;
3d;23;m;502;451;492;318;;133,37541;;;;;;;;
3d;23;m;500;444;493;310;;134,1827113;;;;;;;;
3d;23;m;498;438;493;304;;134,0932511;;;;;;;;
3d;23;m;497;431;494;300;;131,0343466;;;;;;;;
3d;23;m;495;424;496;294;;130,0038461;;;;;;;;
3d;23;m;494;418;498;286;;132,0605922;;;;;;;;
3d;23;m;493;411;500;280;;131,1868896;;;;;;;;
3d;23;m;492;404;501;276;;128,3160161;;;;;;;;
3d;23;m;492;397;504;269;;128,5612694;;;;;;;;
3d;23;m;491;390;507;262;;128,996124;;;;;;;;
3d;23;m;491;384;509;257;;128,2692481;;;;;;;;
3d;23;m;491;377;513;249;;129,8768648;;;;;;;;
3d;23;m;491;370;517;240;;132,5745074;;;;;;;;
3d;23;m;491;363;522;234;;132,6725292;;;;;;;;
3d;23;m;491;355;524;231;;128,3160161;;;;;;;;
3d;23;m;491;348;528;223;;130,3610371;;;;;;;;
3d;23;m;491;340;533;216;;130,9198228;;;;;;;;
3d;23;m;492;333;538;210;;131,3202193;;;;;;;;
3d;23;m;492;325;540;207;;127,3891675;;;;;;;;
3d;23;m;493;318;545;201;;128,0351514;;;;;;;;
3d;23;m;494;310;551;194;;129,247824;;;;;;;;
3d;23;m;495;303;555;188;;129,7112177;;;;;;;;
3d;23;m;497;296;558;185;;126,6570172;;;;;;;;
3d;23;m;498;288;563;179;;126,9094165;;;;;;;;
3d;23;m;500;281;568;174;;126,7793359;;;;;;;;
3d;23;m;502;274;576;168;;129,2749009;;;;;;;;
3d;23;m;504;267;578;165;;126,015872;;;;;;;;
3d;23;m;507;260;583;159;;126,4001582;;;;;;;;
3d;23;m;509;253;589;154;;127,2831489;;;;;;;;
3d;23;m;512;247;595;150;;127,6636205;;;;;;;;
3d;23;m;515;240;598;147;;124,6515142;;;;;;;;
3d;23;m;518;233;604;144;;123,7618681;;;;;;;;
3d;23;m;521;227;610;139;;125,1598977;;;;;;;;
3d;23;m;525;220;615;135;;123,794184;;;;;;;;
3d;23;m;528;214;618;133;;121,0826164;;;;;;;;
3d;23;m;532;208;623;128;;121,1651765;;;;;;;;
3d;23;m;536;202;630;125;;121,5113163;;;;;;;;
3d;23;m;540;196;636;121;;121,823643;;;;;;;;
3d;23;m;544;190;639;119;;118,6001686;;;;;;;;
3d;23;m;549;185;645;116;;118,224363;;;;;;;;
3d;23;m;553;179;651;113;;118,1524439;;;;;;;;
3d;23;m;558;174;657;109;;118,4314148;;;;;;;;
3d;23;m;563;168;661;108;;114,9086594;;;;;;;;
3d;23;m;568;163;668;104;;116,1077086;;;;;;;;
3d;23;m;574;158;674;100;;115,6027681;;;;;;;;
3d;23;m;579;154;680;97;;115,974135;;;;;;;;
3d;23;m;584;149;683;95;;112,7696768;;;;;;;;
3d;23;m;590;145;690;92;;113,1768528;;;;;;;;
3d;23;m;596;140;697;89;;113,1459235;;;;;;;;
3d;23;m;602;136;700;88;;109,1237829;;;;;;;;
3d;23;m;608;132;707;86;;109,1650127;;;;;;;;
3d;23;m;614;128;713;85;;107,9351657;;;;;;;;
3d;23;m;620;125;721;83;;109,3846424;;;;;;;;
3d;23;m;627;121;725;82;;105,4751155;;;;;;;;
3d;23;m;633;118;732;81;;105,6882207;;;;;;;;
3d;23;m;640;115;739;80;;105,0047618;;;;;;;;
3d;23;m;646;112;746;79;;105,3043209;;;;;;;;
3d;23;m;653;109;750;79;;101,5332458;;;;;;;;
3d;23;m;660;107;760;78;;104,1201229;;;;;;;;
3d;23;m;667;104;767;77;;103,5808863;;;;;;;;
3d;23;m;674;102;775;77;;104,0480658;;;;;;;;
3d;23;m;681;100;780;77;;101,6366076;;;;;;;;
3d;23;m;688;98;790;77;;104,1393297;;;;;;;;
3d;23;m;695;97;797;77;;103,9422917;;;;;;;;
3d;23;m;703;95;805;77;;103,576059;;;;;;;;
3d;23;m;710;94;808;77;;99,46356117;;;;;;;;
3d;23;m;717;93;817;78;;101,1187421;;;;;;;;
3d;23;m;725;92;824;79;;99,84988733;;;;;;;;
3d;23;m;732;92;832;80;;100,7174265;;;;;;;;
3d;23;m;740;91;835;81;;95,52486587;;;;;;;;
3d;23;m;747;91;843;83;;96,33275663;;;;;;;;
3d;23;m;755;91;851;84;;96,25487001;;;;;;;;
3d;23;m;762;91;857;85;;95,18928511;;;;;;;;
3d;23;m;770;91;860;85;;90,19977827;;;;;;;;
3d;23;m;777;91;867;86;;90,13878189;;;;;;;;
3d;23;m;783;91;873;88;;90,04998612;;;;;;;;
3d;23;m;790;91;876;89;;86,02325267;;;;;;;;
3d;23;m;797;92;882;91;;85,00588215;;;;;;;;
3d;23;m;804;92;887;93;;83,00602388;;;;;;;;
3d;23;m;811;93;892;96;;81,05553652;;;;;;;;
3d;23;m;817;94;895;98;;78,10249676;;;;;;;;
3d;23;m;824;95;900;101;;76,23647421;;;;;;;;
3d;23;m;831;97;906;104;;75,32595834;;;;;;;;
3d;23;m;837;98;912;108;;75,66372975;;;;;;;;
3d;23;m;844;100;914;110;;70,71067812;;;;;;;;
3d;23;m;851;102;920;113;;69,87131028;;;;;;;;
3d;23;m;857;104;927;116;;71,02112362;;;;;;;;
3d;23;m;864;107;933;120;;70,21395873;;;;;;;;
3d;23;m;870;109;937;122;;68,24954212;;;;;;;;
3d;23;m;877;112;944;127;;68,65857558;;;;;;;;
3d;23;m;883;115;950;131;;68,8839604;;;;;;;;
3d;23;m;889;118;956;135;;69,12307864;;;;;;;;
3d;23;m;895;121;958;137;;65;;;;;;;;
3d;23;m;901;124;964;141;;65,2533524;;;;;;;;
3d;23;m;907;128;970;144;;65;;;;;;;;
3d;23;m;913;132;975;148;;64,03124237;;;;;;;;
3d;23;m;919;136;978;151;;60,87692502;;;;;;;;
3d;23;m;925;140;984;157;;61,40032573;;;;;;;;
3d;23;m;931;144;989;163;;61,03277808;;;;;;;;
3d;23;m;936;149;994;169;;61,3514466;;;;;;;;
3d;23;m;941;153;997;172;;59,13543777;;;;;;;;
3d;23;m;947;158;1003;181;;60,53924347;;;;;;;;
3d;23;m;952;163;1009;190;;63,07138812;;;;;;;;
3d;23;m;957;168;1011;193;;59,50630219;;;;;;;;
3d;23;m;962;173;1015;200;;59,48108943;;;;;;;;
3d;23;m;967;179;1019;206;;58,5918083;;;;;;;;
3d;23;m;972;184;1023;214;;59,16924877;;;;;;;;
3d;23;m;976;190;1025;218;;56,43580424;;;;;;;;
3d;23;m;981;196;1029;226;;56,60388679;;;;;;;;
3d;23;m;985;202;1031;233;;55,47071299;;;;;;;;
3d;23;m;989;208;1034;242;;56,40035461;;;;;;;;
3d;23;m;993;214;1036;248;;54,81788029;;;;;;;;
3d;23;m;997;220;1037;257;;54,4885309;;;;;;;;
3d;23;m;1001;226;1039;266;;55,1724569;;;;;;;;
3d;23;m;1004;233;1041;276;;56,72741841;;;;;;;;
3d;23;m;1008;240;1041;281;;52,63078947;;;;;;;;
3d;23;m;1011;246;1042;288;;52,20153254;;;;;;;;
3d;23;m;1014;253;1043;296;;51,86520992;;;;;;;;
3d;23;m;1017;260;1045;305;;53;;;;;;;;
